Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 02/07  01:00:00,1.12946836497,11.5890092198,0.0,11.5608965563,0.0,0.281938158749,0.281938158749,0.281938158749,0.152146386518,0.0327763842622,0.0862813993051,0.408144195277,0.151537840857
 02/07  02:00:00,0.957001139473,11.8630815918,0.0,11.8371972339,0.0,0.288676364901,0.288676364901,0.288676364901,0.090160839344,0.0194230361695,0.07215281313,0.37579329429,0.0941507916385
 02/07  03:00:00,0.883011390314,11.5666658871,0.0,11.5410816377,0.0,0.281454927917,0.281454927917,0.281454927917,0.0619855790406,0.0133533395118,0.0596311906089,0.371436270588,0.0785060826481
 02/07  04:00:00,0.875957548478,11.5982629189,0.0,11.5730387998,0.0,0.282234274343,0.282234274343,0.282234274343,0.0619855790406,0.0133533395118,0.0525294584498,0.366207842146,0.0830030549866
 02/07  05:00:00,0.918645835362,11.6056419758,0.0,11.5813707011,0.0,0.282437466278,0.282437466278,0.282437466278,0.0619855790406,0.0133533395118,0.06307140009,0.352374291893,0.12877975855
 02/07  06:00:00,1.17613706653,11.4718105818,0.0,11.4447257899,0.0,0.279105076399,0.279105076399,0.279105076399,0.0676206374745,0.0145672805595,0.0759011793751,0.393221389098,0.329077503624
 02/07  07:00:00,1.73230566768,11.1474124331,0.0,11.1161186196,0.0,0.271091260161,0.271091260161,0.271091260161,0.129606216515,0.0279206166389,0.129674584873,0.454328646517,0.70304034298
 02/07  08:00:00,2.0974832443,10.4687257154,0.0,10.435473694,0.0,0.254492220791,0.254492220791,0.254492220791,0.25921243303,0.0558412332777,0.207318086672,0.482758226172,0.806217044357
 02/07  09:00:00,1.9937884032,9.87993136273,0.0,9.85181869928,0.0,0.240258496464,0.240258496464,0.240258496464,0.231037140861,0.049771545201,0.268600928953,0.408144195277,0.779332096447
 02/07  10:00:00,1.74673352484,8.98939683613,0.0,8.96547068621,0.0,0.218642930094,0.218642930094,0.218642930094,0.112701089013,0.0242788037928,0.329942516084,0.347363714635,0.697160471224
 02/07  11:00:00,1.66264478943,9.71517709567,0.0,9.69068824232,0.0,0.236328972129,0.236328972129,0.236328972129,0.090160839344,0.0194230361695,0.344788777527,0.355533134076,0.599766030188
 02/07  12:00:00,1.5363577096,7.43622652298,0.0,7.41173016691,0.0,0.180751514056,0.180751514056,0.180751514056,0.090160839344,0.0194230361695,0.361031883506,0.355642059669,0.512704376856
 02/07  13:00:00,1.44048176454,6.91411795137,0.0,6.89003424448,0.0,0.168049679693,0.168049679693,0.168049679693,0.090160839344,0.0194230361695,0.351753757089,0.349651152079,0.444799300167
 02/07  14:00:00,1.37491511758,6.78047956141,0.0,6.75556305344,0.0,0.164749420542,0.164749420542,0.164749420542,0.090160839344,0.0194230361695,0.31775556627,0.361741892852,0.404440362405
 02/07  15:00:00,1.32318453231,6.19363484419,0.0,6.167315329,0.0,0.151064740304,0.151064740304,0.151064740304,0.0957958818448,0.0206369737848,0.292551191427,0.382110978658,0.364380766289
 02/07  16:00:00,1.38442858901,6.34884371581,0.0,6.3210611717,0.0,0.155192488829,0.155192488829,0.155192488829,0.112701089013,0.0242788037928,0.302771399031,0.403351469205,0.369489339144
 02/07  17:00:00,1.64207869581,6.70940288751,0.0,6.67654100709,0.0,0.164585808946,0.164585808946,0.164585808946,0.174686636187,0.0376321347236,0.353623489359,0.47709409536,0.417812531236
 02/07  18:00:00,2.18167011724,8.46481580936,0.0,8.42489387655,0.0,0.208444876757,0.208444876757,0.208444876757,0.338103187372,0.0728363942165,0.444963271704,0.579593077948,0.521085309245
 02/07  19:00:00,2.57516986214,7.36066542172,0.0,7.31732225204,0.0,0.179342808601,0.179342808601,0.179342808601,0.580410413235,0.125035814648,0.398173901519,0.629263148149,0.616299775984
